timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2026-02-01T00:20:44.600369+07:00,Bắc Ninh,118,5.7,71,pm25,42.5
2026-02-01T01:27:26.859761+07:00,Bắc Ninh,108,6.9,71,pm25,38.5
2026-02-01T02:18:29.260743+07:00,Bắc Ninh,112,5.9,68,pm25,40
2026-02-01T03:21:49.412696+07:00,Bắc Ninh,105,6.1,69,pm25,37
2026-02-01T04:18:34.366378+07:00,Bắc Ninh,103,5.9,69,pm25,36.5
2026-02-01T05:19:21.499670+07:00,Bắc Ninh,118,8,70,pm25,42.5
2026-02-01T06:18:48.024953+07:00,Bắc Ninh,139,8.2,70,pm25,51
2026-02-01T09:03:39.669409+07:00,Bắc Ninh,159,10.4,62,pm25,67
2026-02-01T11:58:18.366760+07:00,Bắc Ninh,111,9.2,62,pm25,39.5
2026-02-01T13:00:51.225613+07:00,Bắc Ninh,122,9.4,59,pm25,44
2026-02-01T14:35:15.105936+07:00,Bắc Ninh,128,9.4,59,pm25,46.5
2026-02-01T15:28:35.520880+07:00,Bắc Ninh,140,9.2,59,pm25,51.5
2026-02-01T16:27:31.044339+07:00,Bắc Ninh,147,9.1,61,pm25,54
2026-02-01T17:22:11.091133+07:00,Bắc Ninh,157,9.5,59,pm25,63.5
2026-02-01T18:18:52.334602+07:00,Bắc Ninh,172,8.3,63,pm25,85.5
2026-02-01T19:42:22.861271+07:00,Bắc Ninh,182,7.6,66,pm25,99.5
2026-02-01T20:40:28.603381+07:00,Bắc Ninh,177,6.9,64,pm25,93
