timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-09-01T00:12:48.326034+07:00,Đà Nẵng,28,8.7,90,pm25,5
2025-09-01T01:20:14.302582+07:00,Đà Nẵng,44,8.2,90,pm25,8
2025-09-01T02:11:45.746151+07:00,Đà Nẵng,62,7.6,91,pm25,15
2025-09-01T03:16:07.471001+07:00,Đà Nẵng,39,7.6,89,pm25,7
2025-09-01T04:13:35.223990+07:00,Đà Nẵng,34,7.7,89,pm25,6.3
2025-09-01T05:14:18.886617+07:00,Đà Nẵng,47,7.4,89,pm25,8.5
2025-09-01T06:14:17.645565+07:00,Đà Nẵng,47,6.2,89,pm25,8.5
2025-09-01T08:25:32.418258+07:00,Đà Nẵng,44,4.6,87,pm25,8
2025-09-01T10:18:32.661565+07:00,Đà Nẵng,26,7.6,75,pm25,4.8
2025-09-01T11:26:00.947984+07:00,Đà Nẵng,22,13.4,73,pm25,4
2025-09-01T12:17:03.670960+07:00,Đà Nẵng,22,15.9,73,pm25,3.9
2025-09-01T13:26:51.824712+07:00,Đà Nẵng,19,16.7,74,no2,38.8
