timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-12-01T00:13:58.889204+07:00,Hà Nội,166,3.1,86,pm25,77
2025-12-01T01:22:58.973877+07:00,Hà Nội,177,1.3,84,pm25,92
2025-12-01T02:13:21.993155+07:00,Hà Nội,187,5.8,82,pm25,107
2025-12-01T03:18:14.050618+07:00,Hà Nội,199,6.4,82,pm25,123.5
2025-12-01T04:14:28.700257+07:00,Hà Nội,210,8,80,pm25,135
2025-12-01T05:15:55.142596+07:00,Hà Nội,218,9,77,pm25,143
2025-12-01T06:15:18.246805+07:00,Hà Nội,217,9.6,76,pm25,141.5
2025-12-01T08:42:14.029937+07:00,Hà Nội,209,10.8,83,pm25,133.3
2025-12-01T10:48:14.190936+07:00,Hà Nội,192,10.9,74,pm25,114
2025-12-01T11:46:34.027191+07:00,Hà Nội,182,9.7,70,pm25,99.5
2025-12-01T12:25:18.821496+07:00,Hà Nội,174,8.1,63,pm25,89
2025-12-01T13:28:58.450927+07:00,Hà Nội,175,5.9,60,pm25,90
2025-12-01T14:20:28.673930+07:00,Hà Nội,170,2.8,56,pm25,82
2025-12-01T15:27:06.595807+07:00,Hà Nội,165,3.4,56,pm25,76.2
2025-12-01T16:24:53.846094+07:00,Hà Nội,165,4.5,57,pm25,75
2025-12-01T17:20:15.680739+07:00,Hà Nội,165,5.7,61,pm25,76
2025-12-01T18:15:33.761915+07:00,Hà Nội,179,6.6,65,pm25,95.5
2025-12-01T19:37:11.523009+07:00,Hà Nội,188,10.2,68,pm25,108.5
2025-12-01T20:33:03.678456+07:00,Hà Nội,208,11.4,76,pm25,132.4
2025-12-01T21:18:27.056881+07:00,Hà Nội,228,12.2,83,pm25,153.2
2025-12-01T22:19:01.610995+07:00,Hà Nội,220,11.8,88,pm25,144.8
2025-12-01T23:24:47.666552+07:00,Hà Nội,204,10.8,92,pm25,128.8
2025-12-02T00:19:13.468984+07:00,Hà Nội,195,10,94,pm25,118.5
2025-12-02T01:28:36.776374+07:00,Hà Nội,187,11.4,95,pm25,106.2
2025-12-02T02:18:53.042526+07:00,Hà Nội,181,10.6,94,pm25,98
2025-12-02T03:17:52.506757+07:00,Hà Nội,181,9.8,93,pm25,99
2025-12-02T04:14:35.860313+07:00,Hà Nội,179,7.9,93,pm25,96
2025-12-02T05:14:36.465990+07:00,Hà Nội,177,6.2,92,pm25,93.1
2025-12-02T06:16:28.609655+07:00,Hà Nội,183,4.4,92,pm25,100.9
2025-12-02T08:19:45.562956+07:00,Hà Nội,196,1.9,89,pm25,119
2025-12-02T10:16:11.749443+07:00,Hà Nội,199,2.2,80,pm25,124.5
2025-12-02T11:27:41.066112+07:00,Hà Nội,192,3.3,82,pm25,114
2025-12-02T12:17:25.251301+07:00,Hà Nội,185,4.5,76,pm25,104
