timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-06-01T00:13:02.649300+07:00,Hà Nội,69,11.6,86,pm25,19
2025-06-01T01:20:46.738238+07:00,Hà Nội,68,13.6,88,pm25,18.4
2025-06-01T02:12:14.877635+07:00,Hà Nội,69,11.7,92,pm25,19
2025-06-01T03:16:22.196011+07:00,Hà Nội,71,9,94,pm25,20
2025-06-01T04:14:06.443652+07:00,Hà Nội,82,8.7,94,pm25,26
2025-06-01T05:14:36.056069+07:00,Hà Nội,79,6.3,93,pm10,111.1
2025-06-01T06:15:36.673063+07:00,Hà Nội,90,4.8,90,pm25,30.4
2025-06-01T08:40:52.427362+07:00,Hà Nội,75,7.9,65,pm25,22
2025-06-01T10:38:13.596906+07:00,Hà Nội,63,14.5,47,pm10,79.6
2025-06-01T11:32:39.822842+07:00,Hà Nội,63,21.9,50,pm10,79.6
2025-06-01T12:16:21.735124+07:00,Hà Nội,63,26,45,pm10,79.6
2025-06-01T13:22:44.212052+07:00,Hà Nội,63,23,35,pm10,79.6
2025-06-01T14:15:08.932727+07:00,Hà Nội,63,23,34,pm10,79.6
2025-06-01T15:20:22.148410+07:00,Hà Nội,17,21,33,pm25,3
2025-06-01T16:15:38.134743+07:00,Hà Nội,22,17.8,35,pm25,4
2025-06-01T17:16:32.649393+07:00,Hà Nội,22,14.4,39,pm25,4
2025-06-01T18:12:45.757348+07:00,Hà Nội,39,11.8,47,pm25,7
2025-06-01T19:31:06.478988+07:00,Hà Nội,50,9.7,49,pm25,9
2025-06-01T20:24:12.822435+07:00,Hà Nội,60,8.9,51,pm25,13.9
2025-06-01T21:13:47.064859+07:00,Hà Nội,62,10.1,51,pm25,15
2025-06-01T22:15:20.178034+07:00,Hà Nội,59,11.1,52,pm25,13.5
2025-06-01T23:18:36.062016+07:00,Hà Nội,52,11.1,54,pm25,10
2025-06-02T00:13:23.277325+07:00,Hà Nội,28,12.7,56,pm25,5.1
2025-06-02T01:20:52.579637+07:00,Hà Nội,26,11.7,58,pm25,4.6
2025-06-02T02:12:53.969453+07:00,Hà Nội,22,11.7,61,pm25,4
2025-06-02T03:17:09.101620+07:00,Hà Nội,22,11.6,63,pm25,4
2025-06-02T04:14:11.770616+07:00,Hà Nội,27,9.9,65,pm25,4.9
2025-06-02T05:14:59.051114+07:00,Hà Nội,28,8.2,66,pm25,5
2025-06-02T06:15:06.596216+07:00,Hà Nội,33,3.8,68,pm25,6.1
2025-06-02T08:21:49.129271+07:00,Hà Nội,53,10.8,60,pm25,10
2025-06-02T10:18:29.251604+07:00,Hà Nội,67,15.4,52,pm10,87.7
2025-06-02T11:27:42.200381+07:00,Hà Nội,62,13,46,pm10,78.8
2025-06-02T12:17:33.422618+07:00,Hà Nội,57,9.6,44,pm10,67.1
2025-06-02T13:25:32.066742+07:00,Hà Nội,47,9.4,42,pm10,51.9
2025-06-02T14:17:14.349058+07:00,Hà Nội,33,7.6,38,pm10,36.4
2025-06-02T15:23:30.721189+07:00,Hà Nội,26,4.5,37,pm10,28.5
2025-06-02T16:18:30.509340+07:00,Hà Nội,22,5.9,38,pm25,4
2025-06-02T17:18:29.408726+07:00,Hà Nội,28,10.2,41,pm25,5
2025-06-02T18:14:37.115549+07:00,Hà Nội,35,11.7,50,pm25,6.4
2025-06-02T19:34:34.161223+07:00,Hà Nội,53,11.2,51,pm25,10
2025-06-02T20:29:43.843065+07:00,Hà Nội,72,9.8,55,pm25,20.5
2025-06-02T21:17:02.639624+07:00,Hà Nội,95,8.7,62,pm25,32.9
2025-06-02T22:18:24.684290+07:00,Hà Nội,127,15.3,72,pm25,46.1
2025-06-02T23:21:20.940432+07:00,Hà Nội,79,15,76,pm25,24
2025-06-03T00:15:10.152768+07:00,Hà Nội,62,16.9,78,pm25,15
2025-06-03T01:23:08.455777+07:00,Hà Nội,63,22.5,80,pm10,80.6
2025-06-03T02:12:58.277726+07:00,Hà Nội,58,20.4,77,pm25,13
2025-06-03T03:18:06.784579+07:00,Hà Nội,56,18.6,76,pm25,11.8
2025-06-03T04:16:18.145363+07:00,Hà Nội,58,15.9,75,pm25,12.8
2025-06-03T05:15:52.979869+07:00,Hà Nội,57,13.2,75,pm25,12.4
2025-06-03T06:15:33.109352+07:00,Hà Nội,58,15,73,pm25,13
2025-06-03T08:19:49.066073+07:00,Hà Nội,57,17.1,60,pm25,12.5
2025-06-03T10:13:40.967321+07:00,Hà Nội,62,15.8,62,pm25,15
2025-06-03T11:23:34.210041+07:00,Hà Nội,62,14.2,58,pm25,15
2025-06-03T12:17:12.019078+07:00,Hà Nội,64,13.7,56,pm25,16
2025-06-03T13:24:29.166062+07:00,Hà Nội,64,13.4,53,pm25,16
2025-06-03T14:17:10.337796+07:00,Hà Nội,65,13.3,57,pm25,16.5
2025-06-03T15:23:38.311090+07:00,Hà Nội,67,14.1,56,pm25,17.6
2025-06-03T16:18:22.022358+07:00,Hà Nội,68,14.4,58,pm25,18
2025-06-03T17:18:54.390047+07:00,Hà Nội,75,12,65,pm25,22
2025-06-03T18:14:37.741695+07:00,Hà Nội,82,13.9,75,pm25,25.5
2025-06-03T19:34:48.904441+07:00,Hà Nội,85,12.9,82,pm25,27.4
2025-06-03T20:31:08.791225+07:00,Hà Nội,73,13.9,85,pm25,21
2025-06-03T21:17:26.743781+07:00,Hà Nội,79,10.9,90,pm25,24
2025-06-03T22:19:07.712393+07:00,Hà Nội,71,7.9,89,pm25,20
2025-06-03T23:22:21.900634+07:00,Hà Nội,66,7.9,87,pm25,17
2025-06-04T00:15:54.307249+07:00,Hà Nội,69,6.8,89,pm25,19
2025-06-04T01:23:40.858011+07:00,Hà Nội,80,5.8,90,pm25,24.8
2025-06-04T02:12:50.839677+07:00,Hà Nội,86,4.5,89,pm25,28
2025-06-04T03:18:44.954092+07:00,Hà Nội,79,5.6,88,pm25,24.1
2025-06-04T04:14:18.761492+07:00,Hà Nội,73,3.6,90,pm25,21
2025-06-04T05:16:19.631926+07:00,Hà Nội,77,2.3,89,pm25,23
2025-06-04T06:15:22.939680+07:00,Hà Nội,85,4.9,90,pm25,27.1
2025-06-04T08:19:32.249228+07:00,Hà Nội,99,4,85,pm25,34.7
2025-06-04T10:14:00.907950+07:00,Hà Nội,77,4.1,77,pm25,22.8
2025-06-04T11:23:54.197440+07:00,Hà Nội,81,6.2,77,pm25,25
2025-06-04T12:16:49.672166+07:00,Hà Nội,69,6.2,74,pm25,19
2025-06-04T13:24:12.253401+07:00,Hà Nội,66,7.5,71,pm25,17
2025-06-04T14:16:33.997020+07:00,Hà Nội,73,9.7,70,pm25,21
2025-06-04T15:22:54.085210+07:00,Hà Nội,86,9.4,66,pm25,28
2025-06-04T16:17:51.291669+07:00,Hà Nội,86,8.6,67,pm25,28
2025-06-04T17:18:27.520388+07:00,Hà Nội,84,5.5,70,pm25,27
2025-06-04T18:14:22.268832+07:00,Hà Nội,95,6.3,75,pm25,32.5
2025-06-04T19:34:43.340476+07:00,Hà Nội,97,3.9,79,pm25,34
2025-06-04T20:31:53.647729+07:00,Hà Nội,112,2.7,82,pm25,40
2025-06-04T21:13:46.806095+07:00,Hà Nội,96,4.3,86,pm25,33.5
2025-06-04T22:40:04.334265+07:00,Hà Nội,86,8.5,89,pm25,28
2025-06-04T23:18:19.928805+07:00,Hà Nội,86,9.7,90,pm25,27.8
2025-06-05T00:15:32.588031+07:00,Hà Nội,97,9.5,90,pm25,34
2025-06-05T01:23:23.225671+07:00,Hà Nội,105,9.6,92,pm25,37
2025-06-05T02:13:40.441225+07:00,Hà Nội,92,7.5,92,pm25,30.9
2025-06-05T03:14:48.870684+07:00,Hà Nội,90,7.5,91,pm25,29.9
2025-06-05T04:13:04.219718+07:00,Hà Nội,86,6.9,92,pm25,28
2025-06-05T05:14:48.049631+07:00,Hà Nội,81,6.9,92,pm25,25
2025-06-05T06:15:35.700239+07:00,Hà Nội,90,6.9,91,pm25,30
2025-06-05T08:18:36.647234+07:00,Hà Nội,128,6.8,80,pm25,46.4
2025-06-05T10:13:53.598193+07:00,Hà Nội,154,3.5,74,pm25,59.5
2025-06-05T11:24:41.516036+07:00,Hà Nội,155,1.2,68,pm25,61
2025-06-05T12:17:19.644166+07:00,Hà Nội,161,2.8,63,pm25,70
2025-06-05T13:25:11.963006+07:00,Hà Nội,156,3.3,56,pm25,63
2025-06-05T14:16:20.335826+07:00,Hà Nội,155,3.6,55,pm25,61
2025-06-05T15:21:58.570909+07:00,Hà Nội,135,5.3,59,pm25,49.5
2025-06-05T16:17:53.711541+07:00,Hà Nội,126,10.8,65,pm25,45.5
2025-06-05T17:18:36.312246+07:00,Hà Nội,117,14,69,pm25,42
2025-06-05T18:14:40.495405+07:00,Hà Nội,93,14.4,71,pm25,31.5
2025-06-05T19:34:40.537322+07:00,Hà Nội,77,14.4,74,pm25,22.9
2025-06-05T20:29:48.808898+07:00,Hà Nội,86,13.9,79,pm25,28
2025-06-05T21:16:41.755927+07:00,Hà Nội,101,13.2,82,pm25,35.7
2025-06-05T22:17:52.095951+07:00,Hà Nội,90,12.9,83,pm25,30.3
2025-06-05T23:20:52.372279+07:00,Hà Nội,90,13.4,85,pm25,30
2025-06-06T00:12:24.721119+07:00,Hà Nội,96,12.2,87,pm25,33
2025-06-06T02:12:09.568553+07:00,Hà Nội,94,10.3,91,pm25,32
2025-06-06T03:15:12.671571+07:00,Hà Nội,94,10,92,pm25,32
2025-06-06T04:15:30.086288+07:00,Hà Nội,75,10.1,93,pm25,22
2025-06-06T05:14:40.201861+07:00,Hà Nội,82,9.6,93,pm25,26
2025-06-06T06:17:34.556314+07:00,Hà Nội,79,8.8,92,pm25,24
2025-06-06T08:18:36.040994+07:00,Hà Nội,88,12.6,76,pm25,29
2025-06-06T10:13:20.141209+07:00,Hà Nội,88,13,76,pm25,29
2025-06-06T11:22:31.053221+07:00,Hà Nội,89,11.4,72,pm25,29.5
2025-06-06T12:17:03.143112+07:00,Hà Nội,77,10.6,68,pm25,22.9
