timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-11-01T00:15:30.689150+07:00,Hà Nội,36,12.9,88,no2,72.9
2025-11-01T01:24:30.379244+07:00,Hà Nội,36,13.9,90,no2,72.9
2025-11-01T02:11:23.484221+07:00,Hà Nội,37,15.8,90,no2,74.1
2025-11-01T03:18:45.609343+07:00,Hà Nội,36,16.5,91,no2,72.1
2025-11-01T04:13:48.933459+07:00,Hà Nội,36,16.7,93,no2,72.5
2025-11-01T05:15:18.200227+07:00,Hà Nội,36,16.8,93,no2,72.5
2025-11-01T06:14:54.341054+07:00,Hà Nội,36,17.5,94,no2,72.5
2025-11-01T08:20:31.484865+07:00,Hà Nội,39,17.9,90,pm25,7
2025-11-01T10:08:55.455183+07:00,Hà Nội,44,16.9,88,pm25,8
2025-11-01T11:17:36.983124+07:00,Hà Nội,52,17.6,87,pm25,9.9
2025-11-01T12:15:22.915026+07:00,Hà Nội,47,18.6,88,pm25,8.5
2025-11-01T13:22:09.454980+07:00,Hà Nội,52,18.1,87,pm25,10
2025-11-01T14:14:17.897061+07:00,Hà Nội,50,16.4,85,pm25,9
2025-11-01T15:19:17.066460+07:00,Hà Nội,41,15.6,83,pm25,7.3
2025-11-01T16:15:28.498302+07:00,Hà Nội,36,14.6,83,no2,72.4
2025-11-01T17:15:54.563391+07:00,Hà Nội,36,12.5,84,no2,72.2
2025-11-01T18:12:05.428104+07:00,Hà Nội,39,11.8,84,pm25,7
2025-11-01T19:30:05.404235+07:00,Hà Nội,51,12.7,84,pm25,9.4
2025-11-01T20:21:04.083224+07:00,Hà Nội,44,12.2,83,pm25,8
2025-11-01T21:13:15.171536+07:00,Hà Nội,52,11.7,83,pm25,9.5
