timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2026-01-01T00:15:50.968630+07:00,Hà Nội,159,10.1,81,pm25,67
2026-01-01T01:25:34.720018+07:00,Hà Nội,166,11.3,84,pm25,77.5
2026-01-01T02:13:31.624388+07:00,Hà Nội,171,11.8,85,pm25,83.6
2026-01-01T03:19:18.877329+07:00,Hà Nội,174,11,84,pm25,89
2026-01-01T04:15:57.890540+07:00,Hà Nội,174,8.9,84,pm25,89
2026-01-01T05:17:57.221913+07:00,Hà Nội,178,7.3,85,pm25,94
2026-01-01T06:16:47.202699+07:00,Hà Nội,179,7,84,pm25,96
2026-01-01T08:41:46.001582+07:00,Hà Nội,182,5.4,81,pm25,100
2026-01-01T10:47:43.496580+07:00,Hà Nội,170,6.9,76,pm25,83
2026-01-01T11:44:23.549049+07:00,Hà Nội,165,8.6,74,pm25,75
2026-01-01T12:24:35.367943+07:00,Hà Nội,162,9.2,73,pm25,71
2026-01-01T13:28:43.015972+07:00,Hà Nội,155,12,69,pm25,61
2026-01-01T14:20:15.790260+07:00,Hà Nội,132,12.6,69,pm25,48
2026-01-01T15:25:28.786352+07:00,Hà Nội,107,11.7,69,pm25,38
2026-01-01T16:22:00.237225+07:00,Hà Nội,88,10.7,72,pm25,29
2026-01-01T17:19:47.656481+07:00,Hà Nội,88,10.5,70,pm25,29.1
2026-01-01T18:15:44.296473+07:00,Hà Nội,102,10.9,72,pm25,36
2026-01-01T19:37:20.352985+07:00,Hà Nội,118,16.2,81,pm25,42.5
2026-01-01T20:31:09.359164+07:00,Hà Nội,154,19.8,80,pm25,59.6
2026-01-01T21:16:59.269538+07:00,Hà Nội,134,19.9,79,pm25,49
2026-01-01T22:18:22.053389+07:00,Hà Nội,82,19.2,78,pm25,25.7
2026-01-01T23:22:42.931075+07:00,Hà Nội,63,18,76,pm25,15.5
2026-01-02T00:17:02.467677+07:00,Hà Nội,59,18.2,73,pm25,13.3
2026-01-02T01:26:12.000473+07:00,Hà Nội,58,17.8,73,pm25,13
2026-01-02T02:14:20.322919+07:00,Hà Nội,53,17.3,76,pm25,10
