timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-12-01T00:14:01.521841+07:00,Hải Dương,158,4.7,91,pm25,65.5
2025-12-01T01:23:01.623260+07:00,Hải Dương,159,4.9,92,pm25,67.3
2025-12-01T02:13:25.174839+07:00,Hải Dương,159,10.4,91,pm25,67.3
2025-12-01T03:18:17.554959+07:00,Hải Dương,160,10.3,86,pm25,68.1
2025-12-01T04:14:32.281702+07:00,Hải Dương,162,10.2,82,pm25,71.2
2025-12-01T05:15:57.915640+07:00,Hải Dương,162,9.8,82,pm25,71.2
2025-12-01T06:15:20.745734+07:00,Hải Dương,170,10.8,79,pm25,83.2
2025-12-01T08:42:16.825767+07:00,Hải Dương,183,11.1,80,pm25,101.1
2025-12-01T10:48:16.683633+07:00,Hải Dương,222,10,69,pm25,146.6
2025-12-01T11:46:36.562129+07:00,Hải Dương,223,10.1,67,pm25,147.4
2025-12-01T12:25:22.473698+07:00,Hải Dương,208,9.4,68,pm25,132.3
2025-12-01T13:29:00.799156+07:00,Hải Dương,185,4.5,64,pm25,103.4
2025-12-01T14:20:31.399397+07:00,Hải Dương,166,1.3,60,pm25,76.8
2025-12-01T15:27:08.697166+07:00,Hải Dương,158,6,62,pm25,65.7
2025-12-01T16:25:01.107013+07:00,Hải Dương,155,10.5,61,pm25,61.9
2025-12-01T17:20:17.756993+07:00,Hải Dương,156,15.8,69,pm25,62.6
2025-12-01T18:15:36.020740+07:00,Hải Dương,156,17.7,80,pm25,62.6
2025-12-01T19:37:13.966833+07:00,Hải Dương,163,15.6,86,pm25,72.6
2025-12-01T20:33:07.979071+07:00,Hải Dương,182,12.6,86,pm25,99.8
2025-12-01T21:18:30.033189+07:00,Hải Dương,175,9.5,88,pm25,89.5
2025-12-01T22:19:04.395883+07:00,Hải Dương,169,8.7,90,pm25,81.7
2025-12-01T23:24:49.959946+07:00,Hải Dương,172,6.7,90,pm25,85.4
2025-12-02T00:19:16.093087+07:00,Hải Dương,169,6.7,91,pm25,80.6
2025-12-02T01:28:39.120337+07:00,Hải Dương,168,8.1,90,pm25,79.7
2025-12-02T02:18:55.592598+07:00,Hải Dương,163,7.9,88,pm25,72.8
2025-12-02T03:17:54.736917+07:00,Hải Dương,158,7.3,87,pm25,65.6
2025-12-02T04:14:38.881114+07:00,Hải Dương,156,6,89,pm25,62.2
2025-12-02T05:14:39.150496+07:00,Hải Dương,155,6.3,89,pm25,61.2
2025-12-02T06:16:31.264948+07:00,Hải Dương,161,6.8,89,pm25,69.3
2025-12-02T08:19:48.146323+07:00,Hải Dương,179,5.3,88,pm25,95.9
2025-12-02T10:16:13.794787+07:00,Hải Dương,175,4.6,83,pm25,90.3
2025-12-02T11:27:43.620391+07:00,Hải Dương,168,3.7,81,pm25,80.1
2025-12-02T12:17:27.995278+07:00,Hải Dương,154,3.1,80,pm25,60.1
2025-12-02T13:28:29.751601+07:00,Hải Dương,118,5.2,76,pm25,42.7
2025-12-02T14:19:28.139495+07:00,Hải Dương,99,6.4,76,pm25,35
2025-12-02T15:25:34.327956+07:00,Hải Dương,91,6.9,75,pm25,30.8
2025-12-02T16:23:15.250773+07:00,Hải Dương,87,4.9,71,pm25,28.6
2025-12-02T17:19:41.697595+07:00,Hải Dương,88,3.9,77,pm25,28.8
2025-12-02T18:17:01.485355+07:00,Hải Dương,91,4.1,81,pm25,30.7
2025-12-02T19:37:47.260950+07:00,Hải Dương,102,4.9,83,pm25,36.1
2025-12-02T20:34:27.209404+07:00,Hải Dương,107,5.7,82,pm25,38
2025-12-02T21:19:03.294425+07:00,Hải Dương,100,7,79,pm25,35.5
2025-12-02T22:19:52.350058+07:00,Hải Dương,100,7.1,79,pm25,35.4
2025-12-02T23:23:55.775359+07:00,Hải Dương,97,6.2,78,pm25,33.8
2025-12-03T00:20:00.989732+07:00,Hải Dương,97,3.7,80,pm25,33.9
2025-12-03T01:27:55.764534+07:00,Hải Dương,96,5,76,pm25,33.3
2025-12-03T02:16:56.515606+07:00,Hải Dương,91,0.8,79,pm25,30.6
2025-12-03T03:21:25.198040+07:00,Hải Dương,93,7.6,79,pm25,31.7
2025-12-03T04:17:10.314505+07:00,Hải Dương,103,9.7,82,pm25,36.3
2025-12-03T05:15:20.637934+07:00,Hải Dương,127,9.6,84,pm25,46.1
2025-12-03T06:16:08.832145+07:00,Hải Dương,146,9.2,84,pm25,53.9
2025-12-03T08:20:04.195800+07:00,Hải Dương,163,12,81,pm25,72.2
2025-12-03T10:14:54.033723+07:00,Hải Dương,158,9.3,70,pm25,65.9
2025-12-03T11:26:23.540708+07:00,Hải Dương,153,11.4,66,pm25,58
2025-12-03T12:17:28.899898+07:00,Hải Dương,133,15,69,pm25,48.5
2025-12-03T13:27:57.231258+07:00,Hải Dương,114,20.6,64,pm25,40.9
2025-12-03T14:19:15.386475+07:00,Hải Dương,107,22.3,60,pm25,38
2025-12-03T15:24:47.414701+07:00,Hải Dương,99,21.1,66,pm25,35
2025-12-03T16:21:30.902411+07:00,Hải Dương,112,21.2,62,pm25,40
2025-12-03T17:20:41.717106+07:00,Hải Dương,128,19.6,64,pm25,46.4
2025-12-03T18:16:26.406432+07:00,Hải Dương,147,14.3,66,pm25,54.3
2025-12-03T19:37:50.964948+07:00,Hải Dương,157,11,64,pm25,64.4
2025-12-03T20:33:43.594220+07:00,Hải Dương,157,6.7,63,pm25,64.2
2025-12-03T22:19:58.963217+07:00,Hải Dương,156,6.9,67,pm25,63
2025-12-03T23:24:37.341252+07:00,Hải Dương,156,7.8,68,pm25,62.3
2025-12-04T00:20:13.658266+07:00,Hải Dương,156,7.6,64,pm25,62.4
2025-12-04T01:27:37.061683+07:00,Hải Dương,156,6.8,65,pm25,62.4
2025-12-04T02:15:52.340531+07:00,Hải Dương,156,3.9,66,pm25,62.4
2025-12-04T03:20:32.055320+07:00,Hải Dương,157,3.5,68,pm25,64.6
2025-12-04T04:16:19.509965+07:00,Hải Dương,159,3.5,73,pm25,66.3
2025-12-04T05:17:22.114712+07:00,Hải Dương,159,3.7,75,pm25,66.4
2025-12-04T06:14:44.085821+07:00,Hải Dương,159,3.6,69,pm25,66.4
2025-12-04T08:20:11.775837+07:00,Hải Dương,160,3.9,66,pm25,68
2025-12-04T10:16:47.658717+07:00,Hải Dương,172,4.6,59,pm25,85
2025-12-04T11:28:11.290763+07:00,Hải Dương,171,2.3,57,pm25,84.6
2025-12-04T12:17:30.360842+07:00,Hải Dương,165,3.1,57,pm25,75.8
2025-12-04T13:27:40.829816+07:00,Hải Dương,161,3.6,56,pm25,70.3
2025-12-04T14:18:50.548137+07:00,Hải Dương,159,7.9,56,pm25,67.1
2025-12-04T15:25:11.993821+07:00,Hải Dương,157,10.8,57,pm25,64.2
2025-12-04T16:21:42.006224+07:00,Hải Dương,153,12.5,59,pm25,58.5
2025-12-04T17:20:53.306194+07:00,Hải Dương,151,15.1,63,pm25,56.1
2025-12-04T18:16:57.723811+07:00,Hải Dương,151,17,69,pm25,56
2025-12-04T19:38:43.925865+07:00,Hải Dương,154,13.9,74,pm25,60.2
2025-12-04T20:34:40.537860+07:00,Hải Dương,159,11,72,pm25,67
2025-12-04T21:18:50.232994+07:00,Hải Dương,163,8.4,72,pm25,73.2
2025-12-04T22:20:17.417597+07:00,Hải Dương,169,6.6,74,pm25,81.9
2025-12-04T23:24:32.211678+07:00,Hải Dương,172,5.8,75,pm25,85
2025-12-05T00:20:15.443358+07:00,Hải Dương,173,5.4,73,pm25,87.2
2025-12-05T01:28:35.813845+07:00,Hải Dương,174,5.3,72,pm25,87.8
2025-12-05T02:16:43.948305+07:00,Hải Dương,177,3.1,74,pm25,93
2025-12-05T03:20:18.173692+07:00,Hải Dương,180,1.3,72,pm25,96.8
2025-12-05T04:16:56.315209+07:00,Hải Dương,180,1.9,75,pm25,96.8
2025-12-05T05:15:19.813861+07:00,Hải Dương,177,2.8,77,pm25,92.1
2025-12-05T06:16:27.567514+07:00,Hải Dương,175,3.2,76,pm25,89.9
2025-12-05T08:20:27.678730+07:00,Hải Dương,176,5.5,77,pm25,90.9
2025-12-05T10:16:21.647186+07:00,Hải Dương,175,7.7,74,pm25,90.2
2025-12-05T11:27:24.767550+07:00,Hải Dương,174,8.9,71,pm25,88.5
2025-12-05T12:17:43.969740+07:00,Hải Dương,198,11,70,pm25,122
2025-12-05T13:28:02.816376+07:00,Hải Dương,198,9.7,71,pm25,123
2025-12-05T14:18:32.724981+07:00,Hải Dương,169,9.8,64,pm25,81
2025-12-05T15:23:56.190597+07:00,Hải Dương,167,9.9,66,pm25,78.1
2025-12-05T16:18:46.803211+07:00,Hải Dương,167,10.8,68,pm25,78.2
2025-12-05T17:18:55.892416+07:00,Hải Dương,168,10.4,70,pm25,79.1
2025-12-05T18:16:39.297558+07:00,Hải Dương,168,9.9,72,pm25,80.5
2025-12-05T19:36:49.302888+07:00,Hải Dương,174,9.5,73,pm25,87.7
2025-12-05T20:29:47.630621+07:00,Hải Dương,178,8,73,pm25,93.8
2025-12-05T21:18:10.736439+07:00,Hải Dương,178,7,73,pm25,93.8
2025-12-05T22:18:49.916853+07:00,Hải Dương,180,6.8,73,pm25,96.3
2025-12-05T23:21:59.687172+07:00,Hải Dương,178,6.9,74,pm25,93.5
2025-12-06T00:16:44.290427+07:00,Hải Dương,174,7.4,76,pm25,87.7
2025-12-06T01:23:16.991197+07:00,Hải Dương,169,6.6,75,pm25,80.5
2025-12-06T02:13:50.616764+07:00,Hải Dương,169,5.6,76,pm25,80.5
2025-12-06T03:19:41.469613+07:00,Hải Dương,161,5.3,74,pm25,70
2025-12-06T04:15:55.536944+07:00,Hải Dương,160,4.4,75,pm25,67.8
2025-12-06T05:16:31.008504+07:00,Hải Dương,158,2.9,76,pm25,65.2
2025-12-06T06:16:19.815676+07:00,Hải Dương,154,2.5,76,pm25,60.2
2025-12-06T08:16:20.833696+07:00,Hải Dương,154,1.7,74,pm25,60.2
2025-12-06T10:07:13.216635+07:00,Hải Dương,176,1.6,64,pm25,91.5
