timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-09-01T00:12:49.179248+07:00,Hải Dương,65,3.1,89,pm25,16.6
2025-09-01T01:20:15.292213+07:00,Hải Dương,67,5.9,93,pm25,17.7
2025-09-01T02:11:46.587060+07:00,Hải Dương,67,7.5,92,pm25,17.7
2025-09-01T03:16:08.403640+07:00,Hải Dương,76,8.2,92,pm25,22.7
2025-09-01T04:13:36.238449+07:00,Hải Dương,76,8.5,94,pm25,22.7
2025-09-01T05:14:19.550607+07:00,Hải Dương,79,7.8,92,pm25,24.1
2025-09-01T06:14:18.531339+07:00,Hải Dương,75,6.6,94,pm25,22.1
2025-09-01T08:25:33.184748+07:00,Hải Dương,77,5.8,94,pm25,23.2
2025-09-01T10:18:33.878038+07:00,Hải Dương,61,4.4,73,pm25,14.4
2025-09-01T11:26:01.954055+07:00,Hải Dương,66,2.6,70,pm25,17.2
2025-09-01T12:17:05.070992+07:00,Hải Dương,68,6.5,70,pm25,18.1
2025-09-01T13:26:52.564646+07:00,Hải Dương,66,8.4,72,pm25,17.5
2025-09-01T14:17:17.314868+07:00,Hải Dương,68,9.1,69,pm25,18
2025-09-01T15:23:42.818594+07:00,Hải Dương,66,12.6,71,pm25,17
2025-09-01T16:19:33.421470+07:00,Hải Dương,63,14.9,75,pm25,15.4
2025-09-01T17:18:18.086063+07:00,Hải Dương,56,12.9,79,pm25,11.9
2025-09-01T18:13:37.912358+07:00,Hải Dương,56,10.3,84,pm25,11.9
2025-09-01T19:34:00.607046+07:00,Hải Dương,57,9.6,86,pm25,12.5
2025-09-01T20:26:03.305263+07:00,Hải Dương,58,8.2,91,pm25,12.7
2025-09-01T21:15:27.917027+07:00,Hải Dương,58,7.5,88,pm25,12.7
2025-09-01T22:15:51.108317+07:00,Hải Dương,52,7.6,91,pm25,9.6
2025-09-01T23:19:06.071672+07:00,Hải Dương,37,6.4,92,pm25,6.8
2025-09-02T00:13:08.131232+07:00,Hải Dương,37,4.8,92,pm25,6.8
2025-09-02T01:21:41.011972+07:00,Hải Dương,45,2.7,89,pm25,8.2
2025-09-02T02:12:23.481429+07:00,Hải Dương,45,2.7,92,pm25,8.2
2025-09-02T03:16:32.449464+07:00,Hải Dương,51,2.6,94,pm25,9.3
2025-09-02T04:13:27.890264+07:00,Hải Dương,51,4.2,94,pm25,9.3
2025-09-02T05:14:48.644189+07:00,Hải Dương,58,5.3,92,pm25,12.9
2025-09-02T06:14:28.333495+07:00,Hải Dương,58,5,94,pm25,12.9
2025-09-02T08:14:56.199430+07:00,Hải Dương,71,5.5,82,pm25,19.8
2025-09-02T10:03:51.066373+07:00,Hải Dương,75,4.4,72,pm25,21.9
2025-09-02T11:19:25.441950+07:00,Hải Dương,74,2.6,68,pm25,21.7
2025-09-02T12:16:33.866612+07:00,Hải Dương,72,1.8,66,pm25,20.3
2025-09-02T13:25:03.048197+07:00,Hải Dương,70,6.4,65,pm25,19.5
2025-09-02T14:16:09.625298+07:00,Hải Dương,70,9.4,66,pm25,19.5
2025-09-02T15:22:02.546652+07:00,Hải Dương,70,10.4,63,pm25,19.5
2025-09-02T16:17:39.416012+07:00,Hải Dương,70,13.6,70,pm25,19.5
2025-09-02T17:17:30.963313+07:00,Hải Dương,66,16.4,77,pm25,17.3
2025-09-02T18:13:36.834532+07:00,Hải Dương,66,15.3,81,pm25,17.3
2025-09-02T19:33:49.761472+07:00,Hải Dương,68,11.3,85,pm25,18.1
2025-09-02T20:27:23.765649+07:00,Hải Dương,71,11,84,pm25,20
2025-09-02T21:16:36.431112+07:00,Hải Dương,67,9.9,85,pm25,17.7
2025-09-02T22:17:13.034235+07:00,Hải Dương,66,9.5,88,pm25,17.1
2025-09-02T23:20:03.949125+07:00,Hải Dương,64,9,89,pm25,16.4
2025-09-03T00:13:40.795638+07:00,Hải Dương,64,8,90,pm25,16.4
2025-09-03T01:20:25.134036+07:00,Hải Dương,62,7.6,91,pm25,15
2025-09-03T02:12:09.688507+07:00,Hải Dương,62,7.3,90,pm25,15
2025-09-03T03:16:58.355095+07:00,Hải Dương,58,6.7,91,pm25,12.8
2025-09-03T04:13:09.463518+07:00,Hải Dương,58,5.3,91,pm25,12.8
2025-09-03T05:13:21.667369+07:00,Hải Dương,60,4.3,91,pm25,13.9
2025-09-03T06:13:10.341516+07:00,Hải Dương,59,4.4,92,pm25,13.4
2025-09-03T08:10:48.401376+07:00,Hải Dương,59,5.9,80,pm25,13.3
2025-09-03T09:52:37.919236+07:00,Hải Dương,54,7,77,pm25,10.7
2025-09-03T10:24:25.395726+07:00,Hải Dương,40,7.9,66,pm25,7.2
2025-09-03T11:18:45.488401+07:00,Hải Dương,36,8.2,64,pm25,6.6
2025-09-03T12:15:07.742546+07:00,Hải Dương,24,8.4,61,pm25,4.4
