timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-08-01T00:18:20.582380+07:00,Hải Phòng,81,9.5,81,pm25,25
2025-08-01T01:26:54.547709+07:00,Hải Phòng,81,5,86,pm25,25
2025-08-01T02:17:15.598078+07:00,Hải Phòng,81,4.7,84,pm25,25
2025-08-01T03:19:41.013779+07:00,Hải Phòng,81,3.2,89,pm25,25
2025-08-01T04:16:54.681753+07:00,Hải Phòng,81,4.8,93,pm25,25
2025-08-01T05:17:16.856502+07:00,Hải Phòng,44,6.6,89,pm25,8
2025-08-01T06:17:28.948271+07:00,Hải Phòng,66,8.6,93,pm25,17
2025-08-01T08:44:57.468016+07:00,Hải Phòng,85,11.3,89,pm25,27.5
2025-08-01T10:53:10.782974+07:00,Hải Phòng,84,14.4,84,pm25,27
2025-08-01T11:51:29.537513+07:00,Hải Phòng,71,15.3,75,pm25,20
2025-08-01T12:29:21.570283+07:00,Hải Phòng,72,13.1,67,pm25,20.5
2025-08-01T13:28:40.319469+07:00,Hải Phòng,64,11.8,74,pm25,16
2025-08-01T14:23:29.677731+07:00,Hải Phòng,75,10.1,70,pm25,22
2025-08-01T15:24:40.911157+07:00,Hải Phòng,71,9.7,74,pm25,20
