timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-08-01T00:18:21.660354+07:00,Hòa Bình,77,6.8,84,pm25,22.9
2025-08-01T01:26:55.795651+07:00,Hòa Bình,77,6.2,86,pm25,22.9
2025-08-01T02:17:16.639759+07:00,Hòa Bình,73,5.4,91,pm25,20.8
2025-08-01T03:19:41.864782+07:00,Hòa Bình,73,5.8,92,pm25,20.8
2025-08-01T04:16:55.388088+07:00,Hòa Bình,73,6.1,94,pm25,20.8
2025-08-01T05:17:17.662727+07:00,Hòa Bình,70,5,94,pm25,19.3
2025-08-01T06:17:29.970654+07:00,Hòa Bình,70,2.9,93,pm25,19.3
2025-08-01T08:44:58.373860+07:00,Hòa Bình,69,4.1,92,pm25,19.1
2025-08-01T10:53:11.727700+07:00,Hòa Bình,66,4.9,91,pm25,17.4
2025-08-01T11:51:30.498407+07:00,Hòa Bình,66,5,91,pm25,17.4
2025-08-01T12:29:22.407952+07:00,Hòa Bình,66,4.3,92,pm25,17.4
2025-08-01T13:28:41.809442+07:00,Hòa Bình,66,3.6,90,pm25,17.4
2025-08-01T14:23:31.675165+07:00,Hòa Bình,63,3,89,pm25,15.4
2025-08-01T15:24:41.940891+07:00,Hòa Bình,63,4,92,pm25,15.4
2025-08-01T16:23:27.657701+07:00,Hòa Bình,63,3.9,90,pm25,15.4
2025-08-01T17:19:38.894340+07:00,Hòa Bình,62,4.8,87,pm25,15.1
2025-08-01T18:15:32.347977+07:00,Hòa Bình,62,2.6,91,pm25,15.1
2025-08-01T19:37:00.218467+07:00,Hòa Bình,62,4.1,91,pm25,15.1
2025-08-01T20:35:44.008784+07:00,Hòa Bình,64,4.8,91,pm25,16
2025-08-01T21:19:06.738270+07:00,Hòa Bình,64,4.9,90,pm25,16
2025-08-01T22:19:09.742521+07:00,Hòa Bình,64,4.9,91,pm25,16
2025-08-01T23:23:05.617075+07:00,Hòa Bình,76,5.1,91,pm25,22.5
2025-08-02T00:19:09.825680+07:00,Hòa Bình,76,5.5,91,pm25,22.5
2025-08-02T01:25:18.390326+07:00,Hòa Bình,76,5.6,92,pm25,22.5
2025-08-02T02:16:22.966063+07:00,Hòa Bình,87,5.7,93,pm25,28.5
2025-08-02T03:19:27.110470+07:00,Hòa Bình,87,5,93,pm25,28.5
2025-08-02T04:17:04.239793+07:00,Hòa Bình,87,4.5,93,pm25,28.5
2025-08-02T05:16:59.323885+07:00,Hòa Bình,85,4,93,pm25,27.2
2025-08-02T06:17:15.549770+07:00,Hòa Bình,85,3.6,92,pm25,27.2
2025-08-02T08:22:53.968436+07:00,Hòa Bình,88,1.2,77,pm25,28.9
2025-08-02T10:23:29.096796+07:00,Hòa Bình,88,3.9,63,pm25,28.9
2025-08-02T11:32:43.829766+07:00,Hòa Bình,78,4.4,58,pm25,23.7
2025-08-02T12:20:47.945826+07:00,Hòa Bình,78,5.8,58,pm25,23.7
2025-08-02T13:24:07.906900+07:00,Hòa Bình,78,4.7,67,pm25,23.7
2025-08-02T14:16:23.953819+07:00,Hòa Bình,70,6,60,pm25,19.2
2025-08-02T15:21:16.484806+07:00,Hòa Bình,70,5.3,60,pm25,19.2
2025-08-02T16:19:51.028048+07:00,Hòa Bình,70,6.4,65,pm25,19.2
2025-08-02T17:17:45.750935+07:00,Hòa Bình,65,5.4,78,pm25,16.8
2025-08-02T18:14:48.629920+07:00,Hòa Bình,65,5.7,82,pm25,16.8
2025-08-02T19:33:50.036822+07:00,Hòa Bình,65,6.3,85,pm25,16.8
2025-08-02T20:28:04.838606+07:00,Hòa Bình,72,6.6,85,pm25,20.3
2025-08-02T21:16:02.146255+07:00,Hòa Bình,72,6.4,86,pm25,20.3
2025-08-02T22:16:54.091858+07:00,Hòa Bình,72,5.9,87,pm25,20.3
2025-08-02T23:20:14.734718+07:00,Hòa Bình,78,6.1,88,pm25,23.9
2025-08-03T00:14:31.057962+07:00,Hòa Bình,78,6.4,89,pm25,23.9
2025-08-03T01:23:49.062925+07:00,Hòa Bình,78,6.5,89,pm25,23.9
2025-08-03T02:13:22.657851+07:00,Hòa Bình,77,6.2,91,pm25,22.8
2025-08-03T03:18:09.817266+07:00,Hòa Bình,77,5.9,90,pm25,22.8
2025-08-03T04:15:44.343937+07:00,Hòa Bình,77,5.5,89,pm25,22.8
2025-08-03T05:16:16.185615+07:00,Hòa Bình,74,5.1,89,pm25,21.2
2025-08-03T06:17:49.264018+07:00,Hòa Bình,74,4.4,88,pm25,21.2
2025-08-03T08:42:58.255680+07:00,Hòa Bình,71,2.6,73,pm25,20.2
2025-08-03T10:48:15.427992+07:00,Hòa Bình,62,3.8,59,pm25,14.9
