timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-06-01T00:13:07.319413+07:00,Hòa Bình,69,6.7,83,pm25,19
2025-06-01T01:20:51.027472+07:00,Hòa Bình,69,7.5,80,pm25,19
2025-06-01T02:12:17.374140+07:00,Hòa Bình,72,7.5,87,pm25,20.6
2025-06-01T03:16:25.417774+07:00,Hòa Bình,72,7.8,85,pm25,20.6
2025-06-01T04:14:10.878834+07:00,Hòa Bình,72,7.1,83,pm25,20.6
2025-06-01T05:14:38.506166+07:00,Hòa Bình,70,7.1,83,pm25,19.6
2025-06-01T06:15:40.329392+07:00,Hòa Bình,70,6.9,82,pm25,19.6
2025-06-01T08:40:58.234573+07:00,Hòa Bình,73,8.8,63,pm25,20.8
2025-06-01T10:38:16.099008+07:00,Hòa Bình,65,16.7,48,pm25,16.7
2025-06-01T11:32:42.844509+07:00,Hòa Bình,65,19.1,46,pm25,16.7
2025-06-01T12:16:24.500716+07:00,Hòa Bình,65,19.4,42,pm25,16.7
2025-06-01T13:22:46.466038+07:00,Hòa Bình,65,19.2,38,pm25,16.7
2025-06-01T14:15:12.039562+07:00,Hòa Bình,58,18.2,37,pm25,13.1
2025-06-01T15:20:24.948958+07:00,Hòa Bình,58,16.1,38,pm25,13.1
2025-06-01T16:15:41.434411+07:00,Hòa Bình,58,14.8,41,pm25,13.1
2025-06-01T17:16:36.253337+07:00,Hòa Bình,57,11.6,47,pm25,12.4
2025-06-01T18:12:47.898921+07:00,Hòa Bình,57,8.3,56,pm25,12.4
2025-06-01T19:31:09.625719+07:00,Hòa Bình,57,6.7,59,pm25,12.4
2025-06-01T20:24:15.581954+07:00,Hòa Bình,60,6.2,61,pm25,14.1
2025-06-01T21:13:49.060718+07:00,Hòa Bình,60,5.9,65,pm25,14.1
2025-06-01T22:15:22.309578+07:00,Hòa Bình,60,7.6,67,pm25,14.1
2025-06-01T23:18:40.164355+07:00,Hòa Bình,64,8.5,68,pm25,16.2
2025-06-02T00:13:26.886710+07:00,Hòa Bình,64,9.7,68,pm25,16.2
2025-06-02T01:20:56.477553+07:00,Hòa Bình,64,9.1,68,pm25,16.2
2025-06-02T02:12:57.444555+07:00,Hòa Bình,61,9.2,70,pm25,14.3
2025-06-02T03:17:11.405001+07:00,Hòa Bình,61,9.5,74,pm25,14.3
2025-06-02T04:14:14.034436+07:00,Hòa Bình,61,9.9,74,pm25,14.3
