timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2026-01-01T00:15:55.354051+07:00,Hòa Bình,129,4,93,pm25,47
2026-01-01T01:25:37.357324+07:00,Hòa Bình,129,3.8,95,pm25,47
2026-01-01T02:13:34.023963+07:00,Hòa Bình,129,4.2,96,pm25,46.8
2026-01-01T03:19:21.902408+07:00,Hòa Bình,129,4.4,96,pm25,46.8
2026-01-01T04:16:00.155816+07:00,Hòa Bình,129,4.5,97,pm25,46.8
2026-01-01T05:17:59.725010+07:00,Hòa Bình,127,3.9,96,pm25,46.1
2026-01-01T06:16:50.435154+07:00,Hòa Bình,127,3.5,96,pm25,46.1
2026-01-01T08:41:48.441105+07:00,Hòa Bình,142,4.3,95,pm25,52.2
2026-01-01T10:47:46.251006+07:00,Hòa Bình,144,3.3,90,pm25,52.8
2026-01-01T11:44:25.844979+07:00,Hòa Bình,144,2.8,89,pm25,52.8
2026-01-01T12:24:38.323186+07:00,Hòa Bình,144,3.2,89,pm25,52.8
2026-01-01T13:28:46.858571+07:00,Hòa Bình,144,4.3,88,pm25,52.8
2026-01-01T14:20:19.300469+07:00,Hòa Bình,112,5.4,83,pm25,39.9
2026-01-01T15:25:31.668912+07:00,Hòa Bình,112,6.5,85,pm25,39.9
2026-01-01T16:22:03.832541+07:00,Hòa Bình,112,6.6,84,pm25,39.9
2026-01-01T17:19:49.905270+07:00,Hòa Bình,92,6.1,85,pm25,31
2026-01-01T18:15:46.408642+07:00,Hòa Bình,92,5.3,90,pm25,31
2026-01-01T19:37:23.242569+07:00,Hòa Bình,92,4.6,94,pm25,31
2026-01-01T20:31:13.483039+07:00,Hòa Bình,93,4.9,93,pm25,31.9
2026-01-01T21:17:02.126335+07:00,Hòa Bình,93,5,94,pm25,31.9
2026-01-01T22:18:25.981275+07:00,Hòa Bình,93,6.5,87,pm25,31.9
2026-01-01T23:22:46.230375+07:00,Hòa Bình,100,6.8,88,pm25,35.4
