timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-09-01T00:12:47.663835+07:00,Huế,46,5.9,95,so2,85.7
2025-09-01T01:20:13.598211+07:00,Huế,46,6.4,93,so2,85.6
2025-09-01T02:11:44.886519+07:00,Huế,46,5.7,95,so2,85.6
2025-09-01T03:16:06.685554+07:00,Huế,47,5.7,90,so2,88.5
2025-09-01T04:13:34.260900+07:00,Huế,49,5.7,91,so2,89.2
2025-09-01T05:14:18.442104+07:00,Huế,49,5.5,94,so2,88.9
2025-09-01T06:14:17.091117+07:00,Huế,49,5.5,94,so2,89.4
2025-09-01T08:25:32.011638+07:00,Huế,47,5.3,88,so2,88.3
2025-09-01T10:18:32.041357+07:00,Huế,49,7.9,78,so2,89.4
2025-09-01T11:26:00.306917+07:00,Huế,49,10.3,78,so2,89.4
