timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-08-01T00:18:17.863724+07:00,Hưng Yên,57,6.5,91,pm25,12.5
2025-08-01T01:26:53.132191+07:00,Hưng Yên,52,6.9,90,pm25,9.5
2025-08-01T02:17:13.899507+07:00,Hưng Yên,53,8.4,85,pm25,10
2025-08-01T03:19:39.138276+07:00,Hưng Yên,46,11.8,89,pm25,8.3
2025-08-01T04:16:53.605046+07:00,Hưng Yên,28,11.3,90,no2,56.7
2025-08-01T05:17:15.787271+07:00,Hưng Yên,28,9.6,90,no2,56.8
2025-08-01T06:17:27.349411+07:00,Hưng Yên,28,9.6,91,no2,56.4
2025-08-01T08:44:55.893121+07:00,Hưng Yên,28,6.6,91,no2,56.4
2025-08-01T10:53:08.571356+07:00,Hưng Yên,41,8.5,74,pm25,7.4
2025-08-01T11:51:28.171651+07:00,Hưng Yên,41,7.3,78,pm25,7.4
2025-08-01T12:29:19.850941+07:00,Hưng Yên,37,6.7,76,pm25,6.7
2025-08-01T13:28:38.879278+07:00,Hưng Yên,32,6.8,76,pm25,5.9
2025-08-01T14:23:28.024966+07:00,Hưng Yên,32,6.8,69,pm25,5.9
2025-08-01T15:24:39.685808+07:00,Hưng Yên,32,7.4,78,pm25,5.9
2025-08-01T16:23:25.373123+07:00,Hưng Yên,28,4.2,87,o3,68.6
2025-08-01T17:19:36.577210+07:00,Hưng Yên,28,6.8,87,no2,56.5
2025-08-01T18:15:30.688902+07:00,Hưng Yên,34,1.9,85,pm25,6.2
2025-08-01T19:36:58.369762+07:00,Hưng Yên,55,4.2,86,pm25,11.5
2025-08-01T20:35:41.713516+07:00,Hưng Yên,71,4.2,84,pm25,19.8
2025-08-01T21:19:04.489067+07:00,Hưng Yên,77,6.3,85,pm25,23.4
2025-08-01T22:19:06.953773+07:00,Hưng Yên,77,5.7,87,pm25,23.1
2025-08-01T23:22:58.235794+07:00,Hưng Yên,72,4.6,87,pm25,20.4
2025-08-02T00:19:08.163149+07:00,Hưng Yên,72,2.9,87,pm25,20.4
2025-08-02T01:25:16.289413+07:00,Hưng Yên,69,4.2,87,pm25,18.9
2025-08-02T02:16:20.469884+07:00,Hưng Yên,65,3.4,90,pm25,16.7
2025-08-02T03:19:24.579740+07:00,Hưng Yên,72,3.1,90,pm25,20.5
2025-08-02T04:17:02.122076+07:00,Hưng Yên,74,3.4,90,pm25,21.5
2025-08-02T05:16:57.382432+07:00,Hưng Yên,79,2.9,91,pm25,24
2025-08-02T06:17:13.473874+07:00,Hưng Yên,84,3.2,90,pm25,26.8
2025-08-02T08:22:51.985412+07:00,Hưng Yên,102,3,77,pm25,36.1
2025-08-02T10:23:26.247645+07:00,Hưng Yên,106,2,63,pm25,37.7
