timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-07-01T00:15:07.428451+07:00,Hưng Yên,105,5.4,91,pm25,37
2025-07-01T01:23:39.624531+07:00,Hưng Yên,53,4.6,91,pm25,10
2025-07-01T02:13:01.826330+07:00,Hưng Yên,53,6.7,91,pm25,10
2025-07-01T03:18:12.595754+07:00,Hưng Yên,53,7.7,90,pm25,10
2025-07-01T04:15:43.867867+07:00,Hưng Yên,53,8,91,pm25,10
2025-07-01T05:16:11.948858+07:00,Hưng Yên,17,6.3,91,pm25,3
2025-07-01T06:15:45.393595+07:00,Hưng Yên,17,5.1,91,pm25,3
2025-07-01T08:38:30.948884+07:00,Hưng Yên,33,4.4,84,pm25,6
2025-07-01T10:27:31.437167+07:00,Hưng Yên,22,5.6,76,pm25,4
2025-07-01T11:35:29.466954+07:00,Hưng Yên,17,8.7,76,pm25,3
2025-07-01T12:20:33.112303+07:00,Hưng Yên,28,6,77,pm25,5
2025-07-01T13:26:00.164598+07:00,Hưng Yên,53,10.7,72,pm25,10
2025-07-01T14:18:08.810804+07:00,Hưng Yên,39,9.6,66,pm25,7
2025-07-01T15:23:28.206952+07:00,Hưng Yên,17,11.2,70,pm25,3
2025-07-01T16:20:04.045268+07:00,Hưng Yên,17,11.3,68,pm25,3
2025-07-01T17:18:40.584628+07:00,Hưng Yên,17,12.3,73,pm25,3
2025-07-01T18:15:16.944265+07:00,Hưng Yên,17,11.5,78,pm25,3
2025-07-01T19:35:13.010521+07:00,Hưng Yên,39,8.7,85,pm25,7
2025-07-01T20:31:25.569171+07:00,Hưng Yên,33,7.2,85,pm25,6
2025-07-01T21:16:17.911618+07:00,Hưng Yên,33,7.8,87,pm25,6
2025-07-01T22:18:10.623322+07:00,Hưng Yên,33,7.5,89,pm25,6
2025-07-01T23:21:24.304928+07:00,Hưng Yên,53,8.4,89,pm25,10
2025-07-02T00:15:43.108458+07:00,Hưng Yên,33,8.2,89,pm25,6
2025-07-02T01:23:13.768059+07:00,Hưng Yên,28,5.9,88,pm25,5
2025-07-02T02:13:04.605767+07:00,Hưng Yên,28,5.8,89,pm25,5
2025-07-02T03:18:20.641947+07:00,Hưng Yên,33,5.7,88,pm25,6
2025-07-02T04:15:41.678843+07:00,Hưng Yên,50,5.2,88,pm25,9
2025-07-02T05:15:52.044042+07:00,Hưng Yên,50,4.9,89,pm25,9
2025-07-02T06:15:54.039537+07:00,Hưng Yên,50,4.2,90,pm25,9
2025-07-02T08:20:40.534964+07:00,Hưng Yên,28,8.3,86,pm25,5
2025-07-02T10:16:28.700733+07:00,Hưng Yên,81,12.2,76,pm25,25
2025-07-02T11:27:09.797679+07:00,Hưng Yên,56,13.3,73,pm25,12
2025-07-02T12:19:08.058605+07:00,Hưng Yên,50,13.6,73,pm25,9
2025-07-02T13:25:37.896875+07:00,Hưng Yên,44,16.1,69,pm25,8
2025-07-02T14:17:07.767426+07:00,Hưng Yên,44,15.9,70,pm25,8
2025-07-02T15:23:02.120754+07:00,Hưng Yên,56,19.5,68,pm25,12
2025-07-02T16:19:41.862860+07:00,Hưng Yên,62,18.6,73,pm25,15
2025-07-02T17:18:34.317964+07:00,Hưng Yên,56,16.4,74,pm25,12
2025-07-02T18:15:05.743469+07:00,Hưng Yên,33,13.7,79,pm25,6
2025-07-02T19:34:49.341930+07:00,Hưng Yên,44,9.9,83,pm25,8
2025-07-02T20:30:16.338813+07:00,Hưng Yên,53,7.5,87,pm25,10
2025-07-02T21:16:53.395168+07:00,Hưng Yên,58,5.3,88,pm25,13
2025-07-02T22:18:12.206353+07:00,Hưng Yên,58,5.4,88,pm25,13
2025-07-02T23:20:45.128383+07:00,Hưng Yên,64,5,89,pm25,16
2025-07-03T00:15:35.496010+07:00,Hưng Yên,64,3.7,90,pm25,16
2025-07-03T01:23:39.590680+07:00,Hưng Yên,62,1.4,91,pm25,15
2025-07-03T02:13:01.685517+07:00,Hưng Yên,62,2.1,90,pm25,15
2025-07-03T03:16:58.580037+07:00,Hưng Yên,60,3.1,89,pm25,14
2025-07-03T04:15:30.247442+07:00,Hưng Yên,60,4.1,91,pm25,14
2025-07-03T05:15:58.928875+07:00,Hưng Yên,58,5.9,92,pm25,13
2025-07-03T06:16:57.252016+07:00,Hưng Yên,66,6.3,91,pm25,17
2025-07-03T08:20:45.377742+07:00,Hưng Yên,84,12.5,89,pm25,27
2025-07-03T10:17:48.949760+07:00,Hưng Yên,84,7.8,89,pm25,27
2025-07-03T11:29:13.869515+07:00,Hưng Yên,84,8.5,82,pm25,27
2025-07-03T12:20:26.324843+07:00,Hưng Yên,84,8.2,81,pm25,27
2025-07-03T13:25:50.433565+07:00,Hưng Yên,84,9.9,77,pm25,27
2025-07-03T14:16:57.378881+07:00,Hưng Yên,84,8.5,71,pm25,27
2025-07-03T15:22:27.731652+07:00,Hưng Yên,84,8.7,71,pm25,27
2025-07-03T16:18:43.503349+07:00,Hưng Yên,88,9.4,73,pm25,29
2025-07-03T17:18:27.699992+07:00,Hưng Yên,115,10.6,77,pm25,41
