timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-09-01T00:12:48.115936+07:00,Lai Châu,56,6.9,95,pm25,12
2025-09-01T01:20:13.922780+07:00,Lai Châu,56,6.1,95,pm25,12
2025-09-01T02:11:45.230003+07:00,Lai Châu,56,5.9,96,pm25,11.7
2025-09-01T03:16:07.121950+07:00,Lai Châu,56,5.5,96,pm25,11.7
2025-09-01T04:13:34.839988+07:00,Lai Châu,56,5.1,96,pm25,11.7
2025-09-01T05:14:18.677167+07:00,Lai Châu,57,4.8,97,pm25,12.2
2025-09-01T06:14:17.389127+07:00,Lai Châu,57,4.5,97,pm25,12.2
2025-09-01T08:25:32.221065+07:00,Lai Châu,57,0.7,80,pm25,12.2
2025-09-01T10:18:32.359707+07:00,Lai Châu,57,4.7,63,pm25,12.2
2025-09-01T11:26:00.684992+07:00,Lai Châu,52,4.8,61,pm25,10
2025-09-01T12:17:03.364390+07:00,Lai Châu,52,2.7,69,pm25,10
2025-09-01T13:26:51.596084+07:00,Lai Châu,52,0.7,69,pm25,10
2025-09-01T14:17:16.173483+07:00,Lai Châu,52,2.8,75,pm25,9.7
2025-09-01T15:23:41.417064+07:00,Lai Châu,52,4.1,84,pm25,9.7
2025-09-01T16:19:31.610436+07:00,Lai Châu,52,4.2,88,pm25,9.7
2025-09-01T17:18:16.587967+07:00,Lai Châu,56,5.3,89,pm25,11.8
2025-09-01T18:13:36.644193+07:00,Lai Châu,56,6.3,93,pm25,11.8
2025-09-01T19:33:59.313922+07:00,Lai Châu,56,7.3,94,pm25,11.8
2025-09-01T20:26:02.009367+07:00,Lai Châu,57,7.3,96,pm25,12.6
2025-09-01T21:15:26.849236+07:00,Lai Châu,57,6.9,96,pm25,12.6
2025-09-01T22:15:49.426027+07:00,Lai Châu,57,6.7,97,pm25,12.6
2025-09-01T23:19:04.924527+07:00,Lai Châu,58,6.2,97,pm25,13.1
2025-09-02T00:13:06.729926+07:00,Lai Châu,58,5.7,97,pm25,13.1
2025-09-02T01:21:40.127384+07:00,Lai Châu,58,5.4,96,pm25,13.1
2025-09-02T02:12:22.242480+07:00,Lai Châu,56,5.1,95,pm25,12
2025-09-02T03:16:31.257029+07:00,Lai Châu,56,5,95,pm25,12
2025-09-02T04:13:26.201556+07:00,Lai Châu,56,4.5,96,pm25,12
2025-09-02T05:14:47.701627+07:00,Lai Châu,59,4.3,96,pm25,13.5
2025-09-02T06:14:25.409748+07:00,Lai Châu,59,4.1,96,pm25,13.5
2025-09-02T08:14:55.134885+07:00,Lai Châu,58,1.9,78,pm25,12.7
2025-09-02T10:03:49.854126+07:00,Lai Châu,58,6.6,63,pm25,12.7
2025-09-02T11:19:24.524154+07:00,Lai Châu,57,6.9,58,pm25,12.1
2025-09-02T12:16:32.166554+07:00,Lai Châu,57,6.2,53,pm25,12.1
2025-09-02T13:25:02.099249+07:00,Lai Châu,57,4.4,53,pm25,12.1
2025-09-02T14:16:08.366206+07:00,Lai Châu,53,3.1,53,pm25,10
2025-09-02T15:22:01.169685+07:00,Lai Châu,53,3.7,54,pm25,10
2025-09-02T16:17:37.979341+07:00,Lai Châu,53,3.9,63,pm25,10
2025-09-02T17:17:29.567703+07:00,Lai Châu,52,1.9,80,pm25,9.7
2025-09-02T18:13:34.943518+07:00,Lai Châu,52,4.1,88,pm25,9.7
2025-09-02T19:33:48.164261+07:00,Lai Châu,52,6.8,92,pm25,9.7
2025-09-02T20:27:22.162505+07:00,Lai Châu,53,7,96,pm25,10.4
2025-09-02T21:16:35.248555+07:00,Lai Châu,53,7.3,96,pm25,10.4
2025-09-02T22:17:12.114487+07:00,Lai Châu,53,7.3,97,pm25,10.4
2025-09-02T23:20:02.872076+07:00,Lai Châu,55,6.8,98,pm25,11.3
2025-09-03T00:13:39.920894+07:00,Lai Châu,55,5.8,97,pm25,11.3
2025-09-03T01:20:23.569671+07:00,Lai Châu,55,4.9,97,pm25,11.3
2025-09-03T02:12:08.600301+07:00,Lai Châu,55,4.8,97,pm25,11.2
2025-09-03T03:16:57.155193+07:00,Lai Châu,55,4.5,97,pm25,11.2
2025-09-03T04:13:07.894867+07:00,Lai Châu,55,4,97,pm25,11.2
2025-09-03T05:13:20.646540+07:00,Lai Châu,56,3.6,96,pm25,12
2025-09-03T06:13:09.072837+07:00,Lai Châu,56,3.2,96,pm25,12
2025-09-03T08:10:47.185409+07:00,Lai Châu,62,2.9,86,pm25,15.2
