timestamp,city,aqi,wind_speed,humidity,pollutant,concentration
2025-05-15T18:54:23.154150+07:00,Nha Trang,25,7.1,77,pm25,4.5
2025-05-15T19:17:56.880400+07:00,Nha Trang,25,4.5,83,pm25,4.5
2025-05-15T23:29:19.000161+07:00,Nha Trang,52,5.7,90,pm25,9.8
2025-05-16T00:14:29.764438+07:00,Nha Trang,52,7.6,92,pm25,9.8
2025-05-16T01:22:46.991186+07:00,Nha Trang,52,8.5,93,pm25,9.8
2025-05-16T02:12:52.432363+07:00,Nha Trang,68,8,94,pm25,18.4
2025-05-16T03:18:13.677571+07:00,Nha Trang,68,7.2,94,pm25,18.4
2025-05-16T04:15:13.284412+07:00,Nha Trang,68,6.5,93,pm25,18.4
2025-05-16T05:15:17.532055+07:00,Nha Trang,66,7,93,pm25,17.1
2025-05-16T06:15:31.486367+07:00,Nha Trang,66,7.2,91,pm25,17.1
2025-05-16T08:18:09.927664+07:00,Nha Trang,66,4.9,80,pm25,17.1
2025-05-16T10:10:11.365826+07:00,Nha Trang,66,8.5,63,pm25,17.1
2025-05-16T11:20:43.583478+07:00,Nha Trang,55,12.5,63,pm25,11.4
2025-05-16T12:17:00.452971+07:00,Nha Trang,55,12.6,61,pm25,11.4
2025-05-16T13:23:49.646674+07:00,Nha Trang,55,14.3,59,pm25,11.4
2025-05-16T14:15:59.390839+07:00,Nha Trang,57,14.9,60,pm25,12.1
2025-05-16T15:21:34.160523+07:00,Nha Trang,57,14.4,62,pm25,12.1
2025-05-16T16:17:14.958209+07:00,Nha Trang,57,13.5,65,pm25,12.1
2025-05-16T17:17:38.241262+07:00,Nha Trang,27,9,69,pm25,4.8
2025-05-16T18:13:45.840085+07:00,Nha Trang,27,4.7,75,pm25,4.8
2025-05-16T19:33:08.131608+07:00,Nha Trang,27,5.6,79,pm25,4.8
2025-05-16T20:27:40.304702+07:00,Nha Trang,24,2.6,81,pm25,4.4
2025-05-16T21:15:58.210032+07:00,Nha Trang,24,2.3,82,pm25,4.4
2025-05-16T22:14:57.218938+07:00,Nha Trang,24,2,83,pm25,4.4
2025-05-16T23:19:46.918773+07:00,Nha Trang,51,4,85,pm25,9.3
2025-05-17T00:13:15.844270+07:00,Nha Trang,51,5.5,87,pm25,9.3
2025-05-17T01:22:16.578809+07:00,Nha Trang,51,7.2,89,pm25,9.3
2025-05-17T02:13:10.134751+07:00,Nha Trang,58,6.9,90,pm25,12.9
2025-05-17T03:17:48.265256+07:00,Nha Trang,58,7.2,91,pm25,12.9
2025-05-17T04:15:01.064442+07:00,Nha Trang,58,7.2,91,pm25,12.9
2025-05-17T05:15:15.881544+07:00,Nha Trang,70,7.5,90,pm25,19.4
2025-05-17T06:15:10.267812+07:00,Nha Trang,70,6.8,86,pm25,19.4
2025-05-17T08:16:15.702624+07:00,Nha Trang,68,2.8,67,pm25,18.4
2025-05-17T10:04:48.496424+07:00,Nha Trang,68,11.7,60,pm25,18.4
2025-05-17T11:19:06.152916+07:00,Nha Trang,63,13.2,61,pm25,15.8
2025-05-17T12:15:00.692969+07:00,Nha Trang,63,13.3,61,pm25,15.8
2025-05-17T13:20:53.824493+07:00,Nha Trang,63,15.3,62,pm25,15.8
2025-05-17T14:14:35.323633+07:00,Nha Trang,62,14.9,60,pm25,14.9
2025-05-17T15:19:09.071186+07:00,Nha Trang,62,13,60,pm25,14.9
2025-05-17T16:15:28.708825+07:00,Nha Trang,62,12.2,62,pm25,14.9
2025-05-17T17:15:56.682211+07:00,Nha Trang,65,11.6,65,pm25,16.4
2025-05-17T18:12:24.998766+07:00,Nha Trang,65,10.3,76,pm25,16.4
2025-05-17T19:29:35.273749+07:00,Nha Trang,65,5.5,80,pm25,16.4
2025-05-17T20:22:30.812374+07:00,Nha Trang,61,5,79,pm25,14.2
2025-05-17T21:13:29.035729+07:00,Nha Trang,61,3.2,80,pm25,14.2
2025-05-17T22:14:50.331181+07:00,Nha Trang,61,2.2,81,pm25,14.2
2025-05-17T23:00:19.026014+07:00,Nha Trang,65,2.2,81,pm25,16.7
2025-05-17T23:21:50.592134+07:00,Nha Trang,65,4.1,82,pm25,16.7
2025-05-17T23:35:40.882225+07:00,Nha Trang,65,4.1,82,pm25,16.7
2025-05-17T23:18:17.042831+07:00,Nha Trang,65,4.1,82,pm25,16.7
2025-05-18T00:12:59.288178+07:00,Nha Trang,65,5.1,84,pm25,16.7
2025-05-18T01:20:22.260838+07:00,Nha Trang,65,5.6,86,pm25,16.7
2025-05-18T02:12:50.764227+07:00,Nha Trang,58,6.2,84,pm25,12.9
2025-05-18T03:16:39.310840+07:00,Nha Trang,58,7.6,85,pm25,12.9
2025-05-18T04:13:56.173713+07:00,Nha Trang,58,6.9,85,pm25,12.9
2025-05-18T05:14:02.122207+07:00,Nha Trang,56,6.7,85,pm25,12
2025-05-18T06:14:36.261462+07:00,Nha Trang,56,6.5,82,pm25,12
2025-05-18T08:22:40.292530+07:00,Nha Trang,58,0.6,62,pm25,12.8
2025-05-18T10:15:11.765205+07:00,Nha Trang,58,10.3,58,pm25,12.8
2025-05-18T11:21:49.778653+07:00,Nha Trang,31,13.1,58,pm25,5.5
2025-05-18T12:15:40.432301+07:00,Nha Trang,31,15.4,58,pm25,5.5
2025-05-18T13:21:52.536163+07:00,Nha Trang,31,14.4,58,pm25,5.5
2025-05-18T14:14:12.347557+07:00,Nha Trang,16,14.1,58,pm25,2.9
2025-05-18T15:18:50.305820+07:00,Nha Trang,16,13.8,59,pm25,2.9
2025-05-18T16:15:16.643143+07:00,Nha Trang,16,14.1,62,pm25,2.9
2025-05-18T17:15:58.649057+07:00,Nha Trang,13,9.4,66,pm25,2.4
2025-05-18T18:12:17.228152+07:00,Nha Trang,13,5.6,74,pm25,2.4
2025-05-18T19:29:54.136584+07:00,Nha Trang,13,4.2,79,pm25,2.4
2025-05-18T20:22:58.187644+07:00,Nha Trang,16,2.2,79,pm25,2.9
2025-05-18T21:13:29.067978+07:00,Nha Trang,16,1.5,81,pm25,2.9
2025-05-18T22:14:32.801286+07:00,Nha Trang,16,1.4,81,pm25,2.9
2025-05-18T23:17:50.952846+07:00,Nha Trang,24,3.8,83,pm25,4.4
2025-05-19T00:13:01.202066+07:00,Nha Trang,24,5.3,85,pm25,4.4
2025-05-19T01:20:13.112028+07:00,Nha Trang,24,6,87,pm25,4.4
2025-05-19T02:12:10.258002+07:00,Nha Trang,51,7.6,88,pm25,9.3
2025-05-19T03:16:52.897361+07:00,Nha Trang,51,8.2,90,pm25,9.3
2025-05-19T04:13:51.922277+07:00,Nha Trang,51,7.5,90,pm25,9.3
2025-05-19T05:14:24.167677+07:00,Nha Trang,57,7.4,89,pm25,12.2
2025-05-19T06:14:44.721092+07:00,Nha Trang,57,6.4,86,pm25,12.2
2025-05-19T08:21:10.415774+07:00,Nha Trang,52,1.7,83,pm25,9.8
2025-05-19T10:15:48.519575+07:00,Nha Trang,52,10.1,68,pm25,9.8
2025-05-19T11:24:37.971888+07:00,Nha Trang,19,13.6,63,pm25,3.6
2025-05-19T12:16:36.806765+07:00,Nha Trang,19,16.5,65,pm25,3.6
2025-05-19T13:24:56.112989+07:00,Nha Trang,19,16.2,65,pm25,3.6
2025-05-19T14:16:49.626277+07:00,Nha Trang,16,14,61,pm25,2.8
2025-05-19T15:24:11.100127+07:00,Nha Trang,16,15,59,pm25,2.8
2025-05-19T16:18:32.248022+07:00,Nha Trang,16,14.9,67,pm25,2.8
2025-05-19T17:18:36.467740+07:00,Nha Trang,15,13.3,71,pm25,2.8
2025-05-19T18:14:16.955435+07:00,Nha Trang,15,10.4,76,pm25,2.8
2025-05-19T19:34:40.902037+07:00,Nha Trang,17,6.7,77,pm25,3.2
2025-05-19T20:29:26.132397+07:00,Nha Trang,17,5.7,81,pm25,3.2
2025-05-19T21:16:36.782660+07:00,Nha Trang,17,5.8,82,pm25,3.2
2025-05-19T22:18:07.351734+07:00,Nha Trang,17,5.6,83,pm25,3.2
2025-05-19T23:20:31.359953+07:00,Nha Trang,36,6.4,85,pm25,6.4
2025-05-20T00:14:27.438522+07:00,Nha Trang,36,6.8,86,pm25,6.4
2025-05-20T01:22:53.135592+07:00,Nha Trang,36,7.7,88,pm25,6.4
2025-05-20T02:13:02.108649+07:00,Nha Trang,52,7.2,91,pm25,9.8
2025-05-20T03:18:07.723774+07:00,Nha Trang,52,6.3,91,pm25,9.8
2025-05-20T04:15:10.593945+07:00,Nha Trang,52,6.7,90,pm25,9.8
2025-05-20T05:15:34.736972+07:00,Nha Trang,58,6.4,90,pm25,13
2025-05-20T06:15:12.758416+07:00,Nha Trang,58,6.3,87,pm25,13
2025-05-20T08:19:04.588527+07:00,Nha Trang,59,3,68,pm25,13.6
2025-05-20T10:10:12.962012+07:00,Nha Trang,59,10.4,57,pm25,13.6
2025-05-20T11:20:02.819764+07:00,Nha Trang,25,14.6,56,pm25,4.6
2025-05-20T12:16:34.089493+07:00,Nha Trang,25,17.9,57,pm25,4.6
2025-05-20T13:24:06.965324+07:00,Nha Trang,25,16.4,58,pm25,4.6
2025-05-20T14:16:19.000663+07:00,Nha Trang,22,16.8,60,pm25,4
2025-05-20T15:22:54.216706+07:00,Nha Trang,22,15.4,61,pm25,4
2025-05-20T16:18:06.806315+07:00,Nha Trang,22,11.3,62,pm25,4
2025-05-20T17:18:16.880398+07:00,Nha Trang,19,9.6,65,pm25,3.5
2025-05-20T18:14:11.042987+07:00,Nha Trang,19,7.2,73,pm25,3.5
2025-05-20T19:34:56.835318+07:00,Nha Trang,28,3.3,77,pm25,5.1
2025-05-20T20:29:55.388161+07:00,Nha Trang,28,3.6,80,pm25,5.1
2025-05-20T21:16:41.517886+07:00,Nha Trang,28,4.1,81,pm25,5.1
2025-05-20T22:18:18.084339+07:00,Nha Trang,28,4.3,82,pm25,5.1
2025-05-20T23:20:37.605163+07:00,Nha Trang,48,7.4,85,pm25,8.7
2025-05-21T00:14:28.102249+07:00,Nha Trang,48,7.4,86,pm25,8.7
2025-05-21T01:23:02.192326+07:00,Nha Trang,48,7.6,88,pm25,8.7
2025-05-21T02:12:47.476471+07:00,Nha Trang,64,5.5,91,pm25,16.2
2025-05-21T03:18:33.599774+07:00,Nha Trang,64,7.6,90,pm25,16.2
2025-05-21T04:15:15.231649+07:00,Nha Trang,64,4.5,89,pm25,16.2
2025-05-21T05:15:29.115828+07:00,Nha Trang,66,3.8,88,pm25,17
2025-05-21T06:15:00.344771+07:00,Nha Trang,66,5.1,85,pm25,17
2025-05-21T08:18:39.722418+07:00,Nha Trang,67,3.9,73,pm25,17.8
2025-05-21T10:09:34.748230+07:00,Nha Trang,67,10,63,pm25,17.8
2025-05-21T11:20:32.627884+07:00,Nha Trang,63,13.7,64,pm25,15.8
2025-05-21T12:16:41.270562+07:00,Nha Trang,63,16.1,62,pm25,15.8
2025-05-21T13:24:03.030472+07:00,Nha Trang,63,16.9,63,pm25,15.8
2025-05-21T14:15:59.028915+07:00,Nha Trang,58,16.2,67,pm25,12.7
2025-05-21T15:22:03.793721+07:00,Nha Trang,58,14.1,68,pm25,12.7
2025-05-21T16:18:05.683060+07:00,Nha Trang,58,12.6,67,pm25,12.7
2025-05-21T17:18:01.118931+07:00,Nha Trang,54,11.5,72,pm25,10.7
2025-05-21T18:14:02.404522+07:00,Nha Trang,54,8.1,76,pm25,10.7
2025-05-21T19:33:43.291197+07:00,Nha Trang,54,6.9,80,pm25,10.7
2025-05-21T20:28:47.288053+07:00,Nha Trang,29,5.9,91,pm25,5.3
2025-05-21T21:16:51.950877+07:00,Nha Trang,29,1.9,88,pm25,5.3
